,interneuron.bodyId,interneuron.type,interneuron.instance,interneuron.status,interneuron_weight,TargetInput.bodyId,TargetInput.type,TargetInput.instance,TargetInput.status,Target_weight,Target.bodyId,Target.type,Target.instance,Target.status
0,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,10,5813050455,DNp32,DNp32(PVL15)_R,Traced,1,2307027729,GF,GF(PVL15)_R,Traced
1,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,1,517086196,AVL27d_pct,AVL27d_pct(AVL27)_R,Traced,32,2307027729,GF,GF(PVL15)_R,Traced
2,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,9,792326206,ADL26i_pct,ADL26i_pct(ADL26)_R,Traced,201,2307027729,GF,GF(PVL15)_R,Traced
3,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,1,829155062,ADL12f_pct,ADL12f_pct(ADL12)_R,Traced,5,2307027729,GF,GF(PVL15)_R,Traced
4,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,2,801257348,ADL25i_pct,ADL25i_pct(ADL25)_R,Traced,1,2307027729,GF,GF(PVL15)_R,Traced
5,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,1,856886459,ADM01k_pct,ADM01k_pct(ADM01)_R,Traced,21,2307027729,GF,GF(PVL15)_R,Traced
6,329566174,OA-VPM3,OA-VPM3(NO2/NO3)_R,Traced,4,454347237,ADL12m_pct,ADL12m_pct(ADL12)_R,Traced,12,2307027729,GF,GF(PVL15)_R,Traced
7,1036637638,ExR3,ExR3(ring)_R,Traced,1,829162792,ADL12m_pct,ADL12m_pct(ADL12)_R,Traced,13,2307027729,GF,GF(PVL15)_R,Traced
8,1036637638,ExR3,ExR3(ring)_R,Traced,1,613756808,ADM01g_c_pct,ADM01g_c_pct(ADM01)_R,Traced,10,2307027729,GF,GF(PVL15)_R,Traced
9,479935033,PVL10a_pct,PVL10a_pct(PVL10)_R,Traced,2,5813050455,DNp32,DNp32(PVL15)_R,Traced,1,2307027729,GF,GF(PVL15)_R,Traced
10,1137590785,SIFamide,SIFamide(PDM34),Traced,1,5813050455,DNp32,DNp32(PVL15)_R,Traced,1,2307027729,GF,GF(PVL15)_R,Traced
11,1137590785,SIFamide,SIFamide(PDM34),Traced,1,1721141438,,,Traced,4,2307027729,GF,GF(PVL15)_R,Traced
12,1137590785,SIFamide,SIFamide(PDM34),Traced,2,1628973439,,,Traced,126,2307027729,GF,GF(PVL15)_R,Traced
13,1137590785,SIFamide,SIFamide(PDM34),Traced,3,1070950293,PVLP001,PVLP001_R,Traced,6,2307027729,GF,GF(PVL15)_R,Traced
14,1137590785,SIFamide,SIFamide(PDM34),Traced,1,5813039148,AVL01lo_pct,AVL01lo_pct(AVL01)_R,Traced,2,2307027729,GF,GF(PVL15)_R,Traced
15,1137590785,SIFamide,SIFamide(PDM34),Traced,4,1068885266,PVLP001,PVLP001_R,Traced,9,2307027729,GF,GF(PVL15)_R,Traced
