input.bodyId	input.name	input.type	GFInput.Classification	weight	output.bodyId	output.name	output.type	GFInput.Classification2
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1166186949	put_PVL05v(PLPF2)_R		type 10
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1375224269	put_AVL04k(lVLPT1)_R	put_AVL04k	new type 12
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	673772212	put_ADM01k(SMPF)_R	put_ADM01k	type 72
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	7	729621875	put_ADL02v(hLHT1)_R	put_ADL02v	type 65
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1134107162	put_PVM09h(MEF1)_R	put_PVM09h	type 108
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	3	829542849	put_ADM01c(SMPF)_R	put_ADM01c	type 72
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1601711357	put_PVL06e(PLPF3)_R	put_PVL06e	new type 2
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	2	1594562431			type 4
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	5	454347237	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	9	829162792	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	3	5812983519	put_ADL12f(dAOTU1)_R	put_ADL12f	type 1
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	642262407	put_ADL12f(dAOTU1)_R	put_ADL12f	type 1
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	14	5813024015	put_PVL15e(LEF)_R	put_PVL15e	DNp02
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	22	736433303	put_PDM22m(iPB7)_R	put_PDM22m	new type 6
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1321564092	put_ADL01d(LBDL2)_R	put_ADL01d	type 130
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	2	5813021922	SCL-AVLP_R_001		type 73
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	4	1318114681			type 18
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	2	1135441187	put_ADL26j(hLHT5)_R	put_ADL26j	type 122
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	675490252	put_ADM01c(SMPF)_R	put_ADM01c	type 72
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	52	885168486	put_ADL02v(hLHT1)_R	put_ADL02v	type 65
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	51	1411737459	put_ADL28c(aSIP2)_R	put_ADL28c	type 131
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	8	1040013335	put_PDL18od(pLH1)_R	put_PDL18od	new type 9
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1568561101	put_AVL05i(aVLPT2)_R	put_AVL05i	type 58
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	5	5813063093	put_PVL10n(PLBDL2)_R	put_PVL10n	type 81
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	2	1598296804	put_AVL05j(aVLPT2)_R	put_AVL05j	type 58
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	5812980291	put_PVL05d(PLPF2)_R	put_PVL05d	type 18
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1254331599			type 2
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	5901219755			type 24
1102761868	put_ADL12m(dAOTU1)_R	put_ADL12m	type 1	1	1998922583	LC4	LC4	LC4
